"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,,"Dollars",,,,,,,,,,,
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","2,010","1,997","2,237","2,657","2,683","3,081","3,467","3,626","3,017","3,602","4,297p","4,604p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","2,150","2,297","2,450","2,577","2,765","2,875","3,113","3,282","3,429","3,811","4,141p","4,502p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","2,039","2,189","2,309","2,445","2,640","2,762","2,990","3,173","3,143","3,458","3,750p","4,054p"
,"Government services 11  (x 1,000,000)","..","..","..","..","..","..","..","1,911","1,833","1,920","2,053p","2,210p"
,"Other industries (Terminated) 12  (x 1,000,000)","3,138t","3,424t","3,675t","3,869t","3,841t","4,079t","4,161t","..t","..t","..t","..t","..t"
"Average annual compensation of employees","Total, all industries","78,737","81,064","83,135","84,173","83,820","86,095","87,438","91,362","97,090","96,088","103,253p","105,768p"
,"Agriculture, forestry, fishing, and hunting 5","..","..","..","..","..","..","..","67,387","68,244","67,489","74,599p","76,746p"
,"Forestry and logging  [BS113]","..","..","..","..","..","..","..","85,086","84,321","84,839","94,667p","96,703p"
,"Support activities for forestry  [BS115300]","..","..","..","..","..","..","..","63,909","67,430","66,657","73,534p","75,919p"
,"Mining, quarrying, and oil and gas extraction  [BS210]","..","..","..","..","..","..","..","112,370","116,207","114,492","122,901p","126,874p"
,"Oil and gas extraction  [BS21100]","..","..","..","..","..","..","..","182,270","195,906","189,348","203,390p","205,085p"
,"Mining and quarrying   [BS213]","..","..","..","..","..","..","..","112,008","117,381","115,094","119,828p","120,091p"
,"Support activities for oil and gas extraction  [BS21311A]","..","..","..","..","..","..","..","107,612","109,133","107,512","116,759p","121,233p"
,"Support activities for mining  [BS21311B]","..","..","..","..","..","..","..","114,514","120,184","122,030","129,212p","132,895p"
,"Utilities  [BS220]","101,072","105,481","110,295","113,450","112,393","119,148","121,077","125,375","139,263","138,043","151,552p","154,629p"
,"Electricity power generation, transmission and distribution  [BS221100]","101,398","105,839","110,652","113,796","112,699","119,567","121,530","125,804","139,801","138,535","152,145p","155,227p"
,"Construction 6","..","..","..","..","..","..","..","95,107","99,273","97,580","103,783p","104,067p"
,"Engineering construction  [BS23C]","75,431","76,974","80,598","84,037","86,088","92,315","92,068","103,873","109,255","107,718","114,706p","114,933p"
,"Electric power engineering  [BS23C300]","74,894","75,018","79,369","82,627","84,948","93,896","91,766","106,691","116,227","112,433","120,016p","121,788p"
,"Manufacturing  [BS3A0]","74,196","77,098","78,835","80,042","80,748","80,570","84,022","84,133","89,426","90,788","98,184p","100,478p"
,"Wood product manufacturing  [BS321]","..","..","..","..","..","..","..","76,833","80,405","81,719","89,982p","91,744p"
,"Paper manufacturing  [BS322] 7","..","..","..","..","..","..","..","103,505","111,361","113,060","125,916p","127,080p"
,"Non-metallic mineral product manufacturing  [BS327] 8","..","..","..","..","..","..","..","80,490","82,842","84,859","91,968p","95,275p"
,"Primary metal manufacturing  [BS331]","..","..","..","..","..","..","..","110,716","117,542","116,840","128,682p","133,400p"
,"Fabricated metal product manufacturing  [BS332]","..","..","..","..","..","..","..","76,121","81,734","85,107","92,364p","94,533p"
,"Electric equipment manufacturing  [BS335300]","80,126","83,120","86,415","88,276","89,266","86,940","91,668","90,831","93,292","92,764","101,460p","101,768p"
,"Wholesale, Retail trade and other services 9","..","..","..","..","..","..","..","72,969","76,278","76,677","81,863p","84,472p"
,"Wholesale, retail, and transportation and warehousing services 10","..","..","..","..","..","..","..","60,050","63,281","65,642","69,368p","71,068p"
,"Professional, scientific and technical services  [BS540]","73,299","76,018","74,338","74,783","71,580","71,948","72,842","76,153","79,414","76,442","83,689p","86,886p"
,"Administrative and support, waste management and remediation services  [BS560]","61,371","62,147","64,170","62,052","62,106","63,528","65,162","68,939","72,983","74,309","79,682p","81,654p"
,"Waste management and remediation services  [BS562000]","62,100","62,823","65,258","62,755","62,603","63,977","65,580","69,321","75,360","76,938","82,412p","84,467p"
,"Government services 11","..","..","..","..","..","..","..","77,004","80,147","85,209","86,388p","89,641p"
,"Other industries (Terminated) 12","68,277t","71,641t","72,010t","72,843t","71,426t","70,622t","72,996t","..t","..t","..t","..t","..t"

Symbol legend:
.., not available for a specific reference period
p, preliminary




Footnotes:
1,"This account provides estimates on environmental and clean technology goods and services. Examples of those goods and services are listed in the technical reference guide available <a href="https://www150.statcan.gc.ca/n1/pub/16-511-x/16-511-x2024001-eng.htm" rel="external noopener noreferrer" target="_blank">here (opens new window)</a>."
2,"Totals may not add due to rounding. Not all members add up to total."
3,"This table uses the industry classification of the Supply-Use tables. The Supply-Use tables are built around three classification systems: the Input-Output Industry Classification (IOIC), the Supply-Use Product Classification (SUPC) and the Input-Output Final Demand Classification (IOFDC). The Input-Output Industry Classification (IOIC) is based on the North American Industry Classification System (NAICS)."
4,"Source: Statistics Canada, Environment Accounts and Statistics Division, National Economic Accounts Division."
5,"Includes Crop and animal production (BS11A), Forestry and logging (BS113), Fishing, hunting and trapping (BS114) and Support activities for agriculture and forestry (BS115) industries."
6,"Includes Residential building construction (BS23A), Non-residential building construction (BS23B), Engineering construction (BS23C), Repair construction (BS23D) and Other activities of the construction industry (BS23E)."
7,"Includes Pulp, paper and paperboard mills (BS322100) and Converted paper product manufacturing (BS322200)."
8,"Includes Non-metallic mineral product manufacturing (except cement and concrete products) (BS327A0) and Cement and concrete product manufacturing (BS32730)."
9,"Includes Wholesale trade (BS410), Retail trade (BS4A0), Transportation and warehousing (BS4B0), Information and cultural industries (BS510), Finance, insurance, real estate, rental and leasing and holding companies (BS5B0), Owner occupied dwellings (BS53C), Professional, scientific and technical services (BS540), Administrative and support, waste management and remediation services (BS560), Educational services (BS610), Health care and social assistance (BS620), Arts, entertainment and recreation (BS710), Accommodation and food services (BS720), Other services (except public administration) (BS810), Non-profit institutions serving households (NP000), Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."
10,"Includes Wholesale trade (BS410), Retail trade (BS4A0) and Transportation and warehousing (BS4B0)."
11,"Includes Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."
12,"Starting in 2019, the category "Other Industries" is terminated and expanded into its parts. For previous years, it included the following industries: Agriculture, forestry, logging, fishing, hunting, and trapping (BS110), Mining, quarrying, and oil and gas extraction (BS210), Wholesale trade (BS410), Retail trade (BS4A0), Transportation and warehousing (BS4B0), Information and cultural industries (BS510), Finance, insurance, real estate, rental and leasing and holding companies (BS5B0), Educational services (BS610), Owner occupied dwellings (BS53C), Health care and social assistance (BS620); Arts, entertainment and recreation (BS710), Accommodation and food services (BS720), Other services (except public administration) (BS810), Non-profit institutions serving households (NP000), Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."



"How to cite: Statistics Canada. Table 36-10-0645-01  Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610064501
