"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","1,182","1,136","1,421","1,646p","1,786p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","19","26","42","46p","46p"
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","275","284","304","361","312","445","487","456","353","543","678p","712p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","342","333","354","358","356","377","427","402","468","515","564p","619p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","331","323","337","346","344","360","403","386","433","467","510p","557p"
,"Government services 11  (x 1,000,000)","..","..","..","..","..","..","..","278","258","283","315p","361p"
,"Other industries (Terminated) 12  (x 1,000,000)","368t","366t","413t","438t","434t","533t","553t","..t","..t","..t","..t","..t"
"Average annual compensation of employees","Total, all industries","77,645","80,358","82,195","85,531","83,686","88,354","91,745","87,813","95,116","93,066","98,503p","101,474p"
,"Agriculture, forestry, fishing, and hunting 5","..","..","..","..","..","..","..","67,365","72,428","72,645","77,261p","79,374p"
,"Forestry and logging  [BS113]","..","..","..","..","..","..","..","109,776","113,562","114,678","123,669p","126,997p"
,"Support activities for forestry  [BS115300]","..","..","..","..","..","..","..","65,429","73,429","72,863","76,830p","79,108p"
,"Mining, quarrying, and oil and gas extraction  [BS210]","..","..","..","..","..","..","..","114,872","128,275","132,091","139,127p","141,091p"
,"Oil and gas extraction  [BS21100]","..","..","..","..","..","..","..","x","x","x","xp","xp"
,"Mining and quarrying   [BS213]","..","..","..","..","..","..","..","x","117,655","x","xp","xp"
,"Support activities for oil and gas extraction  [BS21311A]","..","..","..","..","..","..","..","90,107","x","95,540","103,322p","107,058p"
,"Support activities for mining  [BS21311B]","..","..","..","..","..","..","..","131,499","148,706","153,177","162,447p","164,204p"
,"Utilities  [BS220]","102,688","109,652","114,481","122,173","122,132","133,719","131,175","128,382","133,962","127,949","137,779p","140,335p"
,"Electricity power generation, transmission and distribution  [BS221100]","103,004","110,251","115,162","122,971","123,067","135,018","132,200","129,616","135,081","128,674","138,594p","141,068p"
,"Construction 6","..","..","..","..","..","..","..","93,900","99,033","92,227","98,204p","98,502p"
,"Engineering construction  [BS23C]","74,557","77,028","80,600","84,131","86,901","107,181","101,947","104,881","109,969","102,557","110,260p","111,448p"
